Word,Freq
Abdomen,75
Antennae,30
Antenniferous,94
Antenniferous tubercles,92
Anteocular region,110
Anterior lobe,88
Anterolateral angles,45
Anterolateral projections,45
Body,47
Clypeus,86
Connexivum,83
Conorhinus,59
Corium,72
Eyes,112
Femora,34
First and,28
First antennal segment,74
First rostral segment,47
Fore,111
Fore and mid,75
Fore and mid femora,50
Genae,93
General color,34
GENITALIA,30
Head,227
Hemelytra,134
Humeral angles,68
Integument,30
Jugae,54
Legs,147
Length,111
Length of male,91
MALE,28
MALE GENITALIA,28
Membrane,43
Neck,73
Ocelli,37
Overall color,100
Panstrongylus,32
Pilosity,34
Posterior lobe,95
Posterior process,50
Pronotum,123
Ratio of antennal segments,91
Ratio of rostral segments,96
Ratio width of eye,79
Rostrum,125
Scutellum,122
Second antennal segment,28
Setae,56
Spiracles,93
Spongy fossulae,36
Submedian carinae,54
Tibiae,28
Urosternites,42
Venter,108
